Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
179,everyday morning breakfast work staff error order manager right,4 stars,0,0.4036353,"Bad service, wrong orders, rude staff",4,positive
180,drink time complaint empty drive trash amazing,5 stars,0,0.43737087,"Bad service, wrong orders, rude staff",5,positive
181,nice customer service kid happy meal perfect,5 stars,1,0.52069426,"Fast and quick service, clean place, friendly staff",5,positive
182,unhealthy cheap breakfast town coffee steal,4 stars,2,0.4712212,"Overall good price, quality, service",4,positive
183,quick service friendly staff food guilty pleasure galore,4 stars,1,0.8807854,"Fast and quick service, clean place, friendly staff",4,positive
184,good location friendly staff food prepared location overnight hour,5 stars,1,0.5330717,"Fast and quick service, clean place, friendly staff",5,positive
185,staff service great,3 stars,1,0.79149604,"Fast and quick service, clean place, friendly staff",3,neutral
186,happy meal large fry drive thru receipt large sprite straw,1 star,3,0.65172327,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
187,decent junk food extra packet sauce extra good quick staff,3 stars,3,0.37934318,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
188,last time location burger warm handed cool touch,1 star,4,0.4234291,"Long wait times, slow drive-thru",1,negative
189,people happy meal mean box bag bag day row box box people corporate manger email saying rally place negative star,1 star,3,0.41940075,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
190,assistant manager rude good customer service parfait,1 star,0,0.71913046,"Bad service, wrong orders, rude staff",1,negative
191,hate medium small morning sure medium,3 stars,3,0.7178414,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
192,clean order correct crowded place table,4 stars,1,0.561531,"Fast and quick service, clean place, friendly staff",4,positive
193,quick service clean store order,5 stars,1,0.6559266,"Fast and quick service, clean place, friendly staff",5,positive
194,decent fast food order good price,4 stars,1,0.38969442,"Fast and quick service, clean place, friendly staff",4,positive
195,mcdonald couple year choice,3 stars,2,0.34992895,"Overall good price, quality, service",3,neutral
196,ice cream cone good part branch,4 stars,0,0.5788191,"Bad service, wrong orders, rude staff",4,positive
197,waiting order,2 stars,4,0.72154754,"Long wait times, slow drive-thru",2,negative
198,average service time food hot complaint,3 stars,1,0.45754308,"Fast and quick service, clean place, friendly staff",3,neutral
199,joke counter young lady work,2 stars,0,0.6490845,"Bad service, wrong orders, rude staff",2,negative
200,guy order wish apple pay min life coffee put cream sugar,1 star,0,0.42119616,"Bad service, wrong orders, rude staff",1,negative
201,friendly service clean good past year,5 stars,1,0.42635855,"Fast and quick service, clean place, friendly staff",5,positive
202,order messed time great attitude,3 stars,0,0.69398206,"Bad service, wrong orders, rude staff",3,neutral
203,big piece hamburger meat slice cheese lazy,1 star,3,0.41127187,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
204,standard food service quick efficient outside parking lot area dirty grungy,3 stars,1,0.42801663,"Fast and quick service, clean place, friendly staff",3,neutral
205,mcdonald friendly staff location,5 stars,1,0.8313046,"Fast and quick service, clean place, friendly staff",5,positive
206,place star worker rude,1 star,0,0.831783,"Bad service, wrong orders, rude staff",1,negative
207,chicken nugget salt fry disappointed,1 star,3,0.68936914,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
208,love fact dining,4 stars,5,0.29169655,"Miscellanous, general complains about environment",4,positive
209,open car,3 stars,4,0.72222,"Long wait times, slow drive-thru",3,neutral
210,slow thru person window nice window,3 stars,4,0.7378538,"Long wait times, slow drive-thru",3,neutral
211,fast service clean bathroom nice helpful long food,5 stars,1,0.7925486,"Fast and quick service, clean place, friendly staff",5,positive
212,thru busy long employee sweet,5 stars,4,0.6937909,"Long wait times, slow drive-thru",5,positive
